Time (sec),RPM,Air Temp (F),Coolant Temp (F),TPS (%),Battery Volt (V),Fuel Angle (deg),Accel Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Digital Input Compensation - Fuel (%),Digital Input #1,Digital Input #2,Digital Input #3,Digital Input #4,Digital Input #5,Digital Input #6,Digital Input #7,Digital Input #8,Oil Prsr,Shock FR,Shock FL,Shock RR,Shock RL,Steering,    an#8,WhSpd FR,WhSpd FL,WhSpd RR,WhSpd RL,Measured Lambda #1,Measured #1-Target (Lambda),Analog #1 (volts),Analog #2 (volts),Analog #3 (volts),Analog #4 (volts),Analog #5 (volts),Analog #6 (volts),Analog #7 (volts),Analog #8 (volts)
10.699,4661,84.4,181.6,11.5,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.45,0.01,0.01,0.01,0.01,1.62,0.04,0,0,0,0,0.68,-0.32,0.01,2.2,0.01,0.01,0.01,0.01,1.66,0.04
10.799,4639,84.4,181.6,12.1,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.57,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,2.16,0.01,0.01,0.01,0.01,1.67,0.04
10.899,4616,84.4,181.6,12.1,10.6,530,100,100,100,0,0,1,0,0,0,0,0,42.5,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,2.2,0.01,0.01,0.01,0.01,1.67,0.04
10.999,4640,84.4,181.6,4.4,10.6,530,100,100,100,0,0,1,0,0,0,0,0,41.63,0.01,0.01,0.01,0.01,1.62,0.04,0,0,0,0,0.68,-0.32,0.01,2.17,0.01,0.01,0.01,0.01,1.66,0.04
11.099,4921,84.4,181.6,0,10.7,530,100,100,100,0,0,1,0,0,0,0,0,43.84,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.25,0.01,0.01,0.01,0.01,1.68,0.04
11.199,5537,84.4,181.6,0,10.6,530,100,100,100,0,0,1,0,0,0,0,0,51.3,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,2.55,0.01,0.01,0.01,0.01,1.67,0.04
11.299,6830,84.4,181.6,0,10.6,530,100,100,100,0,0,1,0,0,0,0,0,62.09,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,2.98,0.01,0.01,0.01,0.01,1.68,0.04
11.399,7460,84.4,181.6,96.6,10.6,530,100,100,100,0,0,1,0,0,0,0,0,68.13,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,3.23,0.01,0.01,0.01,0.01,1.67,0.04
11.499,9748,84.4,181.6,99,10.5,530,100,100,100,0,0,1,0,0,0,0,0,71.09,0.01,0.01,0.01,0.01,1.61,0.04,0,0,0,0,0.68,-0.32,0.01,3.34,0.01,0.01,0.01,0.01,1.65,0.04
11.599,11233,84.4,181.6,99.1,10.4,530,100,100,100,0,0,1,0,0,0,0,0,67.7,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,3.21,0.01,0.01,0.01,0.01,1.67,0.04
11.699,11363,84.4,181.6,99.3,10.3,530,100,100,100,0,0,1,0,0,0,0,0,67.2,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,3.19,0.01,0.01,0.01,0.01,1.67,0.04
11.799,11194,84.4,181.6,99.4,10.4,530,100,100,100,0,0,1,0,0,0,0,0,67.77,0.01,0.01,0.01,0.01,1.64,0.04,0,0,0,0,0.68,-0.32,0.01,3.21,0.01,0.01,0.01,0.01,1.68,0.04
11.9,11122,84.4,181.6,99.4,10.3,530,100,100,100,0,0,1,0,0,0,0,0,69.25,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,3.27,0.01,0.01,0.01,0.01,1.67,0.04
11.999,11029,84.4,181.6,99.9,10.3,530,100,100,100,0,0,1,0,0,0,0,0,68.8,0.01,0.01,0.01,0.01,1.63,0.04,0,0,0,0,0.68,-0.32,0.01,3.25,0.01,0.01,0.01,0.01,1.66,0.04
12.099,10997,84.4,181.6,99.7,10.3,530,100,100,100,0,0,1,0,0,0,0,0,67.42,0.01,0.01,0.01,0.01,1.57,0.04,0,0,0,0,0.68,-0.32,0.01,3.2,0.01,0.01,0.01,0.01,1.61,0.04
12.199,8532,84.4,181.6,99.7,10.4,530,100,100,100,0,0,1,0,0,0,0,0,69.57,0.01,0.01,0.01,0.01,1.53,0.04,0,0,0,0,0.68,-0.32,0.01,3.28,0.01,0.01,0.01,0.01,1.57,0.04
12.299,9065,84.4,181.6,99.8,10.4,530,100,100,100,0,0,1,0,0,0,0,0,69.8,0.01,0.01,0.01,0.01,1.35,0.04,0,0,0,0,0.68,-0.32,0.01,3.29,0.01,0.01,0.01,0.01,1.39,0.04
12.399,8964,84.4,181.6,100,10.5,530,100,100,100,0,0,1,0,0,0,0,0,69.02,0.01,0.01,0.01,0.01,1.23,0.04,0,0,0,0,0.68,-0.32,0.01,3.26,0.01,0.01,0.01,0.01,1.26,0.04
12.499,8690,84.4,181.6,100,10.5,530,100,100,100,0,0,1,0,0,0,0,0,68.47,0.01,0.01,0.01,0.01,1.25,0.04,0,0,0,0,0.68,-0.32,0.01,3.24,0.01,0.01,0.01,0.01,1.28,0.04
12.599,9105,84.4,181.6,100,10.5,530,100,100,100,0,0,1,0,0,0,0,0,71.17,0.01,0.01,0.01,0.01,1.22,0.04,0,0,0,0,0.68,-0.32,0.01,3.35,0.01,0.01,0.01,0.01,1.25,0.04
12.699,8971,84.4,181.6,100,10.5,530,100,100,100,0,0,1,0,0,0,0,0,71.22,0.01,0.01,0.01,0.01,1.35,0.04,0,0,0,0,0.68,-0.32,0.01,3.35,0.01,0.01,0.01,0.01,1.38,0.04
12.799,8640,84.4,181.6,100,10.5,530,100,100,100,0,0,1,0,0,0,0,0,71.7,0.01,0.01,0.01,0.01,1.39,0.04,0,0,0,0,0.68,-0.32,0.01,3.37,0.01,0.01,0.01,0.01,1.43,0.04
12.899,8942,84.4,181.6,100,10.5,530,100,100,100,0,0,1,0,0,0,0,0,72.42,0.01,0.01,0.01,0.01,1.31,0.04,0,0,0,0,0.68,-0.32,0.01,3.4,0.01,0.01,0.01,0.01,1.34,0.04
12.999,8610,84.4,181.6,100,10.5,530,100,100,100,0,0,1,0,0,0,0,0,71.95,0.01,0.01,0.01,0.01,1.32,0.04,0,0,0,0,0.68,-0.32,0.01,3.38,0.01,0.01,0.01,0.01,1.36,0.04
13.099,8090,84.4,181.6,99.9,10.5,530,100,100,100,0,0,1,0,0,0,0,0,71.9,0.01,0.01,0.01,0.01,1.4,0.04,0,0,0,0,0.68,-0.32,0.01,3.38,0.01,0.01,0.01,0.01,1.43,0.04
13.199,8370,84.4,181.6,100,10.5,530,100,100,100,0,0,1,0,0,0,0,0,72.27,0.01,0.01,0.01,0.01,1.56,0.04,0,0,0,0,0.68,-0.32,0.01,3.39,0.01,0.01,0.01,0.01,1.6,0.04
13.299,8278,84.4,181.6,100,10.5,530,100,100,100,0,0,1,0,0,0,0,0,72.65,0.01,0.01,0.01,0.01,1.36,0.04,0,0,0,0,0.68,-0.32,0.01,3.41,0.01,0.01,0.01,0.01,1.39,0.04
13.399,8149,84.4,181.6,100,10.5,530,100,100,100,0,0,1,0,0,0,0,0,72.77,0.01,0.01,0.01,0.01,1.06,0.04,0,0,0,0,0.68,-0.32,0.01,3.41,0.01,0.01,0.01,0.01,1.09,0.04
13.499,9090,84.4,181.6,100,10.4,530,100,100,100,0,0,1,0,0,0,0,0,73.07,0.01,0.01,0.01,0.01,0.96,0.04,0,0,0,0,0.68,-0.32,0.01,3.42,0.01,0.01,0.01,0.01,0.98,0.04
13.599,9336,84.4,181.6,100,10.4,530,100,100,100,0,0,1,0,0,0,0,0,72.8,0.01,0.01,0.01,0.01,1.25,0.04,0,0,0,0,0.68,-0.32,0.01,3.41,0.01,0.01,0.01,0.01,1.28,0.04
13.699,9757,84.4,181.6,100,10.3,530,100,100,100,0,0,1,0,0,0,0,0,73.05,0.01,0.01,0.01,0.01,1.28,0.04,0,0,0,0,0.68,-0.32,0.01,3.42,0.01,0.01,0.01,0.01,1.32,0.04
13.799,9964,84.4,181.6,100,10.3,530,100,100,100,0,0,1,0,0,0,0,0,74.2,0.01,0.01,0.01,0.01,0.9,0.04,0,0,0,0,0.68,-0.32,0.01,3.47,0.01,0.01,0.01,0.01,0.92,0.04
13.899,9938,84.4,181.6,0,10.5,530,100,100,100,0,0,1,0,0,0,0,0,74.45,0.01,0.01,0.01,0.01,0.67,0.04,0,0,0,0,0.68,-0.32,0.01,3.48,0.01,0.01,0.01,0.01,0.69,0.04
13.999,9513,84.4,181.6,10.1,10.4,530,100,100,100,0,0,1,0,0,0,0,0,73.63,0.01,0.01,0.01,0.01,0.68,0.04,0,0,0,0,0.68,-0.32,0.01,3.45,0.01,0.01,0.01,0.01,0.7,0.04
14.099,8754,84.4,181.6,8.2,10.4,530,100,100,100,0,0,1,0,0,0,0,0,73.15,0.01,0.01,0.01,0.01,0.67,0.04,0,0,0,0,0.68,-0.32,0.01,3.43,0.01,0.01,0.01,0.01,0.68,0.04
14.199,7992,84.4,181.6,9.4,10.4,530,100,100,100,0,0,1,0,0,0,0,0,73.88,0.01,0.01,0.01,0.01,0.66,0.04,0,0,0,0,0.68,-0.32,0.01,3.46,0.01,0.01,0.01,0.01,0.68,0.04
14.299,7609,84.4,181.6,9.3,10.4,530,100,100,100,0,0,1,0,0,0,0,0,72.92,0.01,0.01,0.01,0.01,0.66,0.04,0,0,0,0,0.68,-0.32,0.01,3.42,0.01,0.01,0.01,0.01,0.68,0.04
14.399,7440,84.4,181.6,0,10.4,530,100,100,100,0,0,1,0,0,0,0,0,72.45,0.01,0.01,0.01,0.01,0.68,0.04,0,0,0,0,0.68,-0.32,0.01,3.4,0.01,0.01,0.01,0.01,0.7,0.04
14.499,8939,84.4,181.6,80.1,10.3,530,100,100,100,0,0,1,0,0,0,0,0,72.8,0.01,0.01,0.01,0.01,0.79,0.04,0,0,0,0,0.68,-0.32,0.01,3.41,0.01,0.01,0.01,0.01,0.81,0.04
14.599,9603,84.4,181.6,100,10.3,530,100,100,100,0,0,1,0,0,0,0,0,72.2,0.01,0.01,0.01,0.01,0.78,0.04,0,0,0,0,0.68,-0.32,0.01,3.39,0.01,0.01,0.01,0.01,0.8,0.04
14.699,9640,84.4,181.6,100,10.3,530,100,100,100,0,0,1,0,0,0,0,0,72.15,0.01,0.01,0.01,0.01,0.77,0.04,0,0,0,0,0.68,-0.32,0.01,3.39,0.01,0.01,0.01,0.01,0.79,0.04
14.799,9938,84.4,181.6,96.5,10.3,530,100,100,100,0,0,1,0,0,0,0,0,69.65,0.01,0.01,0.01,0.01,0.81,0.04,0,0,0,0,0.68,-0.32,0.01,3.29,0.01,0.01,0.01,0.01,0.83,0.04
14.899,9977,84.4,181.6,95.7,10.3,530,100,100,100,0,0,1,0,0,0,0,0,70.05,0.01,0.01,0.01,0.01,0.85,0.04,0,0,0,0,0.68,-0.32,0.01,3.3,0.01,0.01,0.01,0.01,0.87,0.04
14.999,10176,84.4,181.6,90.8,10.3,530,100,100,100,0,0,1,0,0,0,0,0,70.65,0.01,0.01,0.01,0.01,1.09,0.04,0,0,0,0,0.68,-0.32,0.01,3.33,0.01,0.01,0.01,0.01,1.11,0.04
15.099,10085,84.4,181.6,91.6,10.3,530,100,100,100,0,0,1,0,0,0,0,0,72.47,0.01,0.01,0.01,0.01,0.78,0.04,0,0,0,0,0.68,-0.32,0.01,3.4,0.01,0.01,0.01,0.01,0.8,0.04
15.2,9946,84.4,183.3,69.9,10.3,530,100,100,100,0,0,1,0,0,0,0,0,72.15,0.01,0.01,0.01,0.01,0.62,0.04,0,0,0,0,0.68,-0.32,0.01,3.39,0.01,0.01,0.01,0.01,0.63,0.04
15.299,9769,84.4,181.6,39.6,10.3,530,100,100,100,0,0,1,0,0,0,0,0,71.22,0.01,0.01,0.01,0.01,0.62,0.04,0,0,0,0,0.68,-0.32,0.01,3.35,0.01,0.01,0.01,0.01,0.63,0.04
15.399,9619,84.4,181.6,0,10.5,530,100,100,100,0,0,1,0,0,0,0,0,70.67,0.01,0.01,0.01,0.01,0.6,0.04,0,0,0,0,0.68,-0.32,0.01,3.33,0.01,0.01,0.01,0.01,0.62,0.04
15.499,8851,84.4,183.4,7.4,10.3,530,100,100,100,0,0,1,0,0,0,0,0,69.95,0.01,0.01,0.01,0.01,0.59,0.04,0,0,0,0,0.68,-0.32,0.01,3.3,0.01,0.01,0.01,0.01,0.61,0.04
15.599,8509,84.4,183.4,0,10.4,530,100,100,100,0,0,1,0,0,0,0,0,69.75,0.01,0.01,0.01,0.01,0.6,0.04,0,0,0,0,0.68,-0.32,0.01,3.29,0.01,0.01,0.01,0.01,0.61,0.04
15.699,8339,84.4,183.4,7.6,10.3,530,100,100,100,0,0,1,0,0,0,0,0,67.77,0.01,0.01,0.01,0.01,0.6,0.04,0,0,0,0,0.68,-0.32,0.01,3.21,0.01,0.01,0.01,0.01,0.61,0.04
15.799,7634,84.4,183.4,0,10.4,530,100,100,100,0,0,1,0,0,0,0,0,67.47,0.01,0.01,0.01,0.01,0.6,0.04,0,0,0,0,0.68,-0.32,0.01,3.2,0.01,0.01,0.01,0.01,0.61,0.04
15.899,8379,84.4,183.4,61.6,10.3,530,100,100,100,0,0,1,0,0,0,0,0,71.07,0.01,0.01,0.01,0.01,0.6,0.04,0,0,0,0,0.68,-0.32,0.01,3.34,0.01,0.01,0.01,0.01,0.61,0.04
15.999,9795,84.4,183.4,90.3,10.3,530,100,100,100,0,0,1,0,0,0,0,0,72.09,0.01,0.01,0.01,0.01,0.66,0.04,0,0,0,0,0.68,-0.32,0.01,3.38,0.01,0.01,0.01,0.01,0.67,0.04
16.099,9920,84.4,183.4,96.5,10.3,530,100,100,100,0,0,1,0,0,0,0,0,69.45,0.01,0.01,0.01,0.01,0.77,0.04,0,0,0,0,0.68,-0.32,0.01,3.28,0.01,0.01,0.01,0.01,0.79,0.04
16.199,9977,84.4,183.4,79,10.3,530,100,100,100,0,0,1,0,0,0,0,0,66.13,0.01,0.01,0.01,0.01,0.74,0.04,0,0,0,0,0.68,-0.32,0.01,3.15,0.01,0.01,0.01,0.01,0.76,0.04
16.299,10076,84.4,183.4,54.4,10.3,530,100,100,100,0,0,1,0,0,0,0,0,66.09,0.01,0.01,0.01,0.01,0.74,0.04,0,0,0,0,0.68,-0.32,0.01,3.14,0.01,0.01,0.01,0.01,0.75,0.04
16.399,9509,84.4,183.4,43.3,10.3,530,100,100,100,0,0,1,0,0,0,0,0,68.22,0.01,0.01,0.01,0.01,0.89,0.04,0,0,0,0,0.68,-0.32,0.01,3.23,0.01,0.01,0.01,0.01,0.91,0.04
16.499,9702,84.4,183.4,59.4,10.3,530,100,100,100,0,0,1,0,0,0,0,0,70.45,0.01,0.01,0.01,0.01,1.03,0.04,0,0,0,0,0.68,-0.32,0.01,3.32,0.01,0.01,0.01,0.01,1.06,0.04
16.6,9838,84.4,183.4,72.6,10.3,530,100,100,100,0,0,1,0,0,0,0,0,70.22,0.01,0.01,0.01,0.01,0.73,0.04,0,0,0,0,0.68,-0.32,0.01,3.31,0.01,0.01,0.01,0.01,0.74,0.04
16.699,9748,84.4,183.4,72.5,10.3,530,100,100,100,0,0,1,0,0,0,0,0,68.63,0.01,0.01,0.01,0.01,0.65,0.04,0,0,0,0,0.68,-0.32,0.01,3.25,0.01,0.01,0.01,0.01,0.67,0.04
16.799,9685,84.4,183.4,44.5,10.3,530,100,100,100,0,0,1,0,0,0,0,0,69.2,0.01,0.01,0.01,0.01,0.67,0.04,0,0,0,0,0.68,-0.32,0.01,3.27,0.01,0.01,0.01,0.01,0.69,0.04
16.899,9398,84.4,183.4,0,10.5,530,100,100,100,0,0,1,0,0,0,0,0,68.17,0.01,0.01,0.01,0.01,0.67,0.04,0,0,0,0,0.68,-0.32,0.01,3.23,0.01,0.01,0.01,0.01,0.69,0.04
16.999,8914,84.4,183.4,7.4,10.3,530,100,100,100,0,0,1,0,0,0,0,0,66.32,0.01,0.01,0.01,0.01,0.68,0.04,0,0,0,0,0.68,-0.32,0.01,3.15,0.01,0.01,0.01,0.01,0.69,0.04
17.099,8364,84.4,183.4,7.2,10.4,530,100,100,100,0,0,1,0,0,0,0,0,66.25,0.01,0.01,0.01,0.01,0.68,0.04,0,0,0,0,0.68,-0.32,0.01,3.15,0.01,0.01,0.01,0.01,0.7,0.04
17.199,7692,84.4,183.4,5.5,10.4,530,100,100,100,0,0,1,0,0,0,0,0,63.57,0.01,0.01,0.01,0.01,0.72,0.04,0,0,0,0,0.68,-0.32,0.01,3.04,0.01,0.01,0.01,0.01,0.74,0.04
17.299,7908,84.4,183.4,25.6,10.5,530,100,100,100,0,0,1,0,0,0,0,0,66.59,0.01,0.01,0.01,0.01,0.8,0.04,0,0,0,0,0.68,-0.32,0.01,3.16,0.01,0.01,0.01,0.01,0.82,0.04
17.399,9398,84.4,183.4,67.5,10.3,530,100,100,100,0,0,1,0,0,0,0,0,71.42,0.01,0.01,0.01,0.01,1.06,0.04,0,0,0,0,0.68,-0.32,0.01,3.36,0.01,0.01,0.01,0.01,1.08,0.04
17.499,9607,84.4,183.4,73,10.3,530,100,100,100,0,0,1,0,0,0,0,0,71.05,0.01,0.01,0.01,0.01,1.18,0.04,0,0,0,0,0.68,-0.32,0.01,3.34,0.01,0.01,0.01,0.01,1.21,0.04
17.599,9623,84.4,183.4,71.5,10.3,530,100,100,100,0,0,1,0,0,0,0,0,70.07,0.01,0.01,0.01,0.01,0.85,0.04,0,0,0,0,0.68,-0.32,0.01,3.3,0.01,0.01,0.01,0.01,0.87,0.04
17.699,9786,84.4,183.4,43.9,10.3,530,100,100,100,0,0,1,0,0,0,0,0,66.2,0.01,0.01,0.01,0.01,0.6,0.04,0,0,0,0,0.68,-0.32,0.01,3.15,0.01,0.01,0.01,0.01,0.62,0.04
17.799,9489,84.4,183.4,0,10.4,530,100,100,100,0,0,1,0,0,0,0,0,65.57,0.01,0.01,0.01,0.01,0.66,0.04,0,0,0,0,0.68,-0.32,0.01,3.12,0.01,0.01,0.01,0.01,0.67,0.04
17.899,9138,84.4,183.4,8.2,10.3,530,100,100,100,0,0,1,0,0,0,0,0,66.84,0.01,0.01,0.01,0.01,0.68,0.04,0,0,0,0,0.68,-0.32,0.01,3.17,0.01,0.01,0.01,0.01,0.7,0.04
17.999,8265,84.4,183.4,8.4,10.3,530,100,100,100,0,0,1,0,0,0,0,0,70.72,0.01,0.01,0.01,0.01,0.75,0.04,0,0,0,0,0.68,-0.32,0.01,3.33,0.01,0.01,0.01,0.01,0.77,0.04
18.1,7500,84.4,183.4,5.5,10.4,530,100,100,100,0,0,1,0,0,0,0,0,70.17,0.01,0.01,0.01,0.01,0.75,0.04,0,0,0,0,0.68,-0.32,0.01,3.31,0.01,0.01,0.01,0.01,0.76,0.04
18.199,7470,84.4,183.4,0,10.4,530,100,100,100,0,0,1,0,0,0,0,0,69.5,0.01,0.01,0.01,0.01,0.77,0.04,0,0,0,0,0.68,-0.32,0.01,3.28,0.01,0.01,0.01,0.01,0.79,0.04
18.3,8078,84.4,183.4,65.8,10.4,530,100,100,100,0,0,1,0,0,0,0,0,65.38,0.01,0.01,0.01,0.01,0.83,0.04,0,0,0,0,0.68,-0.32,0.01,3.12,0.01,0.01,0.01,0.01,0.85,0.04
18.4,9469,84.4,183.4,74.8,10.3,530,100,100,100,0,0,1,0,0,0,0,0,66.22,0.01,0.01,0.01,0.01,0.9,0.04,0,0,0,0,0.68,-0.32,0.01,3.15,0.01,0.01,0.01,0.01,0.92,0.04
18.5,9656,84.4,183.4,76.9,10.3,530,100,100,100,0,0,1,0,0,0,0,0,66.67,0.01,0.01,0.01,0.01,1.01,0.04,0,0,0,0,0.68,-0.32,0.01,3.17,0.01,0.01,0.01,0.01,1.03,0.04
18.6,9748,84.4,183.4,77.1,10.3,530,100,100,100,0,0,1,0,0,0,0,0,65.77,0.01,0.01,0.01,0.01,0.78,0.04,0,0,0,0,0.68,-0.32,0.01,3.13,0.01,0.01,0.01,0.01,0.8,0.04
18.699,10040,86.1,183.4,68.2,10.3,530,100,100,100,0,0,1,0,0,0,0,0,64.4,0.01,0.01,0.01,0.01,0.8,0.04,0,0,0,0,0.68,-0.32,0.01,3.08,0.01,0.01,0.01,0.01,0.82,0.04
18.799,10306,84.5,183.4,89.6,10.3,530,100,100,100,0,0,1,0,0,0,0,0,64.57,0.01,0.01,0.01,0.01,0.91,0.04,0,0,0,0,0.68,-0.32,0.01,3.08,0.01,0.01,0.01,0.01,0.94,0.04
18.899,10135,86.2,183.4,90.2,10.3,530,100,100,100,0,0,1,0,0,0,0,0,68.82,0.01,0.01,0.01,0.01,1.05,0.04,0,0,0,0,0.68,-0.32,0.01,3.25,0.01,0.01,0.01,0.01,1.07,0.04
18.999,10378,86.2,183.4,91.4,10.3,530,100,100,100,0,0,1,0,0,0,0,0,69.2,0.01,0.01,0.01,0.01,1.41,0.04,0,0,0,0,0.68,-0.32,0.01,3.27,0.01,0.01,0.01,0.01,1.44,0.04
19.099,9898,86.2,183.4,93.6,10.3,530,100,100,100,0,0,1,0,0,0,0,0,70.27,0.01,0.01,0.01,0.01,2.08,0.04,0,0,0,0,0.68,-0.32,0.01,3.31,0.01,0.01,0.01,0.01,2.13,0.04
19.2,9942,86.2,183.4,93.8,10.3,530,100,100,100,0,0,1,0,0,0,0,0,72.3,0.01,0.01,0.01,0.01,1.92,0.04,0,0,0,0,0.68,-0.32,0.01,3.39,0.01,0.01,0.01,0.01,1.97,0.04
19.299,9363,86.2,183.4,93.5,10.3,530,100,100,100,0,0,1,0,0,0,0,0,71.02,0.01,0.01,0.01,0.01,1.18,0.04,0,0,0,0,0.68,-0.32,0.01,3.34,0.01,0.01,0.01,0.01,1.21,0.04
19.399,9457,86.2,183.4,0,10.5,530,100,100,100,0,0,1,0,0,0,0,0,70.55,0.01,0.01,0.01,0.01,0.49,0.04,0,0,0,0,0.68,-0.32,0.01,3.32,0.01,0.01,0.01,0.01,0.5,0.04
19.5,9603,86.2,183.4,8.7,10.3,530,100,100,100,0,0,1,0,0,0,0,0,69.27,0.01,0.01,0.01,0.01,0.5,0.04,0,0,0,0,0.68,-0.32,0.01,3.27,0.01,0.01,0.01,0.01,0.51,0.04
19.599,8809,86.2,183.4,9.3,10.4,530,100,100,100,0,0,1,0,0,0,0,0,67.25,0.01,0.01,0.01,0.01,0.51,0.04,0,0,0,0,0.68,-0.32,0.01,3.19,0.01,0.01,0.01,0.01,0.52,0.04
19.699,8093,86.2,183.4,3.1,10.5,530,100,100,100,0,0,1,0,0,0,0,0,68.32,0.01,0.01,0.01,0.01,0.51,0.04,0,0,0,0,0.68,-0.32,0.01,3.23,0.01,0.01,0.01,0.01,0.52,0.04
19.799,7961,86.2,183.4,5.7,10.5,530,100,100,100,0,0,1,0,0,0,0,0,71.2,0.01,0.01,0.01,0.01,0.51,0.04,0,0,0,0,0.68,-0.32,0.01,3.35,0.01,0.01,0.01,0.01,0.52,0.04
19.899,7718,86.2,183.4,11.9,10.5,530,100,100,100,0,0,1,0,0,0,0,0,70.52,0.01,0.01,0.01,0.01,0.51,0.04,0,0,0,0,0.68,-0.32,0.01,3.32,0.01,0.01,0.01,0.01,0.52,0.05
19.999,7535,86.2,183.4,5.3,10.5,530,100,100,100,0,0,1,0,0,0,0,0,68.13,0.01,0.01,0.01,0.01,0.51,0.04,0,0,0,0,0.68,-0.32,0.01,3.23,0.01,0.01,0.01,0.01,0.53,0.04
20.099,6870,86.2,183.4,0,10.5,530,100,100,100,0,0,1,0,0,0,0,0,62.88,0.01,0.01,0.01,0.01,0.51,0.04,0,0,0,0,0.68,-0.32,0.01,3.02,0.01,0.01,0.01,0.01,0.52,0.04
20.199,8105,86.2,183.4,77.3,10.4,530,100,100,100,0,0,1,0,0,0,0,0,63.05,0.01,0.01,0.01,0.01,0.54,0.04,0,0,0,0,0.68,-0.32,0.01,3.02,0.01,0.01,0.01,0.01,0.55,0.04
20.299,8921,86.2,183.4,96.6,10.4,530,100,100,100,0,0,1,0,0,0,0,0,63.09,0.01,0.01,0.01,0.01,0.77,0.04,0,0,0,0,0.68,-0.32,0.01,3.02,0.01,0.01,0.01,0.01,0.79,0.04
20.399,8953,86.2,183.4,97.2,10.4,530,100,100,100,0,0,1,0,0,0,0,0,63.55,0.01,0.01,0.01,0.01,0.78,0.04,0,0,0,0,0.68,-0.32,0.01,3.04,0.01,0.01,0.01,0.01,0.8,0.04
20.499,9607,86.2,183.4,90.1,10.4,530,100,100,100,0,0,1,0,0,0,0,0,63.38,0.01,0.01,0.01,0.01,0.66,0.04,0,0,0,0,0.68,-0.32,0.01,3.04,0.01,0.01,0.01,0.01,0.68,0.04
20.599,9644,86.2,183.4,87.4,10.4,530,100,100,100,0,0,1,0,0,0,0,0,64.75,0.01,0.01,0.01,0.01,0.82,0.04,0,0,0,0,0.68,-0.32,0.01,3.09,0.01,0.01,0.01,0.01,0.84,0.04
20.699,10013,86.2,183.4,88.1,10.3,530,100,100,100,0,0,1,0,0,0,0,0,67.09,0.01,0.01,0.01,0.01,1.4,0.04,0,0,0,0,0.68,-0.32,0.01,3.18,0.01,0.01,0.01,0.01,1.44,0.04
20.8,9929,86.2,183.4,89.3,10.3,530,100,100,100,0,0,1,0,0,0,0,0,68.38,0.01,0.01,0.01,0.01,1.38,0.04,0,0,0,0,0.68,-0.32,0.01,3.24,0.01,0.01,0.01,0.01,1.41,0.04
20.899,9748,86.2,183.4,91.1,10.4,530,100,100,100,0,0,1,0,0,0,0,0,68.75,0.01,0.01,0.01,0.01,0.65,0.04,0,0,0,0,0.68,-0.32,0.01,3.25,0.01,0.01,0.01,0.01,0.67,0.04
20.999,9795,86.2,183.4,0,10.4,530,100,100,100,0,0,1,0,0,0,0,0,70.57,0.01,0.01,0.01,0.01,0.54,0.04,0,0,0,0,0.68,-0.32,0.01,3.32,0.01,0.01,0.01,0.01,0.56,0.04
21.099,9394,86.2,183.4,8.3,10.5,530,100,100,100,0,0,1,0,0,0,0,0,68.88,0.01,0.01,0.01,0.01,0.51,0.04,0,0,0,0,0.68,-0.32,0.01,3.26,0.01,0.01,0.01,0.01,0.53,0.04
21.199,8748,86.2,183.4,6.6,10.4,530,100,100,100,0,0,1,0,0,0,0,0,66.77,0.01,0.01,0.01,0.01,0.51,0.04,0,0,0,0,0.68,-0.32,0.01,3.17,0.01,0.01,0.01,0.01,0.53,0.04
21.299,8067,86.2,183.4,7,10.4,530,100,100,100,0,0,1,0,0,0,0,0,65.9,0.01,0.01,0.01,0.01,0.51,0.04,0,0,0,0,0.68,-0.32,0.01,3.14,0.01,0.01,0.01,0.01,0.53,0.04
21.399,7684,86.2,183.4,6.2,10.5,530,100,100,100,0,0,1,0,0,0,0,0,64.05,0.01,0.01,0.01,0.01,0.52,0.04,0,0,0,0,0.68,-0.32,0.01,3.06,0.01,0.01,0.01,0.01,0.53,0.04
21.499,7990,86.2,183.4,42.3,10.5,530,100,100,100,0,0,1,0,0,0,0,0,66.63,0.01,0.01,0.01,0.01,0.57,0.04,0,0,0,0,0.68,-0.32,0.01,3.17,0.01,0.01,0.01,0.01,0.58,0.04
21.599,9437,86.2,183.4,70,10.4,530,100,100,100,0,0,1,0,0,0,0,0,70.67,0.01,0.01,0.01,0.01,0.73,0.04,0,0,0,0,0.68,-0.32,0.01,3.33,0.01,0.01,0.01,0.01,0.75,0.04
